index,jumlah
mantap,927.3801486697712
bagus,721.7288487863669
blu,560.9362806625379
ok,533.3140549733467
banget,477.8226747070574
mudah,463.40804660461475
good,456.6847435222144
membantu,455.09917151209436
bca,449.9437169696204
aplikasi,434.3065620855492
keren,337.82097521185295
transaksi,309.5563339612958
pakai,253.94634807402204
cepat,253.58961854965472
oke,221.03683907390166
bank,219.38832809223274
lambat,208.927044919893
transfer,207.75098217476832
aplikasinya,199.74181974945992
digital,196.99473649892977
